Designator,Mid X,Mid Y,Rotation,Layer
A1,84.3775,-57.64,90.0,bottom
J1,101.9325,-81.445,90.0,top
J2,144.3375,-46.4275,180.0,bottom
R1,126.1575,-45.3325,180.0,bottom
R10,120.8625,-55.175,180.0,bottom
R2,126.1575,-48.6225,180.0,bottom
R3,126.1575,-51.9125,180.0,bottom
R4,126.1575,-55.2025,180.0,bottom
R5,126.1575,-58.4925,180.0,bottom
R6,126.1575,-61.7825,0.0,bottom
R7,126.1575,-65.0725,0.0,bottom
R8,120.93,-48.6325,180.0,bottom
R9,120.8625,-51.885,180.0,bottom
SW2,140.915,-78.965,0.0,top
U1,106.165,-53.455,0.0,top
